child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
5203,2166,,2166,YUKON,YUKON,13,P,C,V,USD,"Ex Hull 8270. Del on 10/1/20 1450 LT, followed by sale and bb back, BB Owner-Picer Marine,Panama, BB Chr-EPC(14)",1,1,USD,,Y,Y,Y,0,,,,,,,,
5209,2166,,2166,YUKON,YUKON,13,P,C,V,USD,"Ex Hull 8270. Del on 10/1/20 1450 LT, followed by sale and bb back, BB Owner-Picer Marine,Panama, BB Chr-EPC(14)",1,1,USD,,Y,Y,Y,0,,,,,,,,
4782,2167,,2167,PURPLE RAY,PURPLE RAY,13,P,C,V,USD,"Ex Hull 667. Del on 23/3/20 1145LT, 0245GMT, thereafter sale to Ocean Transit & BB in on 23/3/20 1147LT, 0247GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
4794,2167,,2167,PURPLE RAY,PURPLE RAY,13,P,C,V,USD,"Ex Hull 667. Del on 23/3/20 1145LT, 0245GMT, thereafter sale to Ocean Transit & BB in on 23/3/20 1147LT, 0247GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
5675,2118,,2118,CELTIC SEA,CELTIC SEA,13,C,C,V,USD,"Ex Sea Lady, delivered in Map Ta Phut, Thailand on 22/9/14 at 11:25 Hours GMT (1825 hours local time).",1,1,USD,,Y,Y,Y,0,,,,,,,,
5637,2178,,2178,HULL NTP 0167,HULL NTP 0167,13,C,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
5669,2178,,2178,HULL NTP 0167,HULL NTP 0167,13,C,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
5678,2122,,2122,CATALAN SEA,CATALAN SEA,13,C,C,V,USD,"Ex Sharp Lady. Vsl delivered in Rotterdam, Netherlands on 31/10/14 at 1025 hrs GMT (1125 hrs LT)",1,1,USD,,Y,Y,Y,0,,,,,,,,
5679,2148,,2148,CASPIAN SEA,CASPIAN SEA,13,C,C,V,USD,"Ex Hull NTP 0165, vsl delivered on 14/1/19 1030 hrs LT, 0230 hrs GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
5681,2107,,2107,NOBLEWAY,NOBLEWAY,13,C,C,V,USD,"Ex Knock Clune, vsl delivered on 2/5/14 0340 hrs @ Singapore GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
5682,2149,,2149,TYRRHENIAN SEA,TYRRHENIAN SEA,13,C,C,V,USD,"Ex Hull NTP 0166.  Delivered on 23/1/19 @ 1300 hr LT, 0500 hr GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
5683,2131,,2131,KORO SEA,KORO SEA,13,C,C,V,USD,"Ex Asian Jasper, delivered on 1/6/15 @ 0230 Hrs GMT in Chiba Japan (Seller-Afra 2 International S.A. of Panama)",1,1,USD,,Y,Y,Y,0,,,,,,,,
5992,1398,,1398,PACIFIC BERYL,PACIFIC BERYL,13,C,C,V,USD,"Ex Sanko Lynx, Mgt change fm TPMS to EPS wef 17/12/13",1,1,USD,,Y,Y,Y,0,,,,,,,,
5638,2179,,2179,HULL NTP 0168,HULL NTP 0168,13,C,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
5676,2179,,2179,HULL NTP 0168,HULL NTP 0168,13,C,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
5624,2180,,2180,PACIFIC BLUE,PACIFIC BLUE,13,C,C,V,USD,"Ex Hull S-1691. Vsl delivered on 6 Jan 2020, 1002 LT, 0102 GMT,  with simultaneous sale & BB Chtr back to EPC (16) Inc ",1,1,USD,,Y,Y,Y,0,,,,,,,,
5635,2180,,2180,PACIFIC BLUE,PACIFIC BLUE,13,C,C,V,USD,"Ex Hull S-1691. Vsl delivered on 6 Jan 2020, 1002 LT, 0102 GMT,  with simultaneous sale & BB Chtr back to EPC (16) Inc ",1,1,USD,,Y,Y,Y,0,,,,,,,,
6162,2077,,2077,HYUNDAI MERCURY,HYUNDAI MERCURY,40,U,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6172,2194,,2194,HULL 3162,HULL 3162,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6173,2168,,2168,HULL S989,HULL S989,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
