child_value,child_description,parent1,parent1_description,parent2,parent2_description,parent3,parent3_descriptin,parent4,parent4_description,parent5,parent5_description,parent6,parent6_description,parent7,parent7_description,parent8,parent8_description,parent9,parent9_description,le,danaos_co_code,database
5663,RANSOC MARINE LTD,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2205,
5664,RELIBATE SHIPPING INC,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2130,
5665,RENAK MARINE LTD,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2202,
5666,RIKAPE MARITIME LTD.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2115,
5667,RONSAL SHIPPING INC ,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,992,
5668,SCRALE MARINE INC,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2181,
5669,SILVERADO MARINE INC.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2178,
5671,SONARC MARINE LTD,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2206,
5672,TANKER PACIFIC CHARTERING (2) LIMITED,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
5673,TANQUART MARINE LTD,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2164,
5674,TICEEN MARITIME LTD ,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
5675,TIMAL SHIPPING INC,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2118,
5676,TIPER MARITIME LTD,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2179,
5677,TOMTEF SHIPPING INC.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2143,
5678,TONZIP MARITIME LTD.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2122,
5679,TOSTOLI SHIPPING INC.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2148,
5681,TYDEP MARITIME S.A.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2107,
5682,VASTOP MARINE INC.,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2149,
5683,WONE SHIPPING INC,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2131,
5992,BERYL MARITIME PTE. LTD.,5990,PINFIT SHIPPING INC.-HOLDING COMPANY,5990,PINFIT SHIPPING INC.-HOLDING COMPANY,5990,PINFIT SHIPPING INC.-HOLDING COMPANY,5990,PINFIT SHIPPING INC.-HOLDING COMPANY,5610,QUANTUM CRUDE TANKERS LTD-HOLDING COMPANY,5600,GREENMOUNT LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,1398,
6001,EMERALDMOUNT LTD,6000,EMERALDMOUNT LTD-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
6051,QUBIC LIMITED,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,68,QPSL
6052,QUBIC CRYSTAL LTD ,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,66,QUBIC
6053,QUBIC PEARL LTD ,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,67,QUBIC
6054,QUBIC TOPAZ LTD ,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,64,QPSL
6055,QUBIC SWAPCO LTD ,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,41,QUBIC
6161,ARZEL SHIPPING INC. ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,48,QPSL
6162,ARZEL SHIPPING (MI) INC.,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6150,ABERCORN HOLDINGS INC.-HOLDING COMPANY ,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,2077,
6172,AKUBE MARITIME LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2194,
6173,BALKET SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2168,
6174,BIVRANT MARINE INC ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2159,
6175,CITRON TRANSPORT INC. ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2024,
6176,DAISELZ SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2172,
6177,DALEM SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2169,
6178,FORDOP SHIPPING INC ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2022,
6179,FRISTANE SHIPPING INC ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2018,
6181,FURWINN SHIPPING COMPANY ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2037,
6182,FURWINN SHIPPING COMPANY LTD,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,81,QUBIC
6183,HALMA SHIPPING INC ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2160,
6184,HASTAY MARINE LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2027,
6185,IZTALE SHIPPING INC ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2081,
6186,KODUSE SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2173,
6187,KUBELY MARITIME LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2195,
6188,KUBESON MARITIME LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2198,
6189,KUBEMAX SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
6191,KUBISON SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
6192,KUBIX SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
6193,LANKUBE SHIPPING LTD ,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6170,QUBIC SAPPHIRE LTD-HOLDING COMPANY,6050,QUBIC LIMITED-HOLDING COMPANY,6000,EMERALDMOUNT LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
