ledger_card,source_system,oracle_natural_account
21950,PENWOOD,149496
21950,EPSCHARTER,149496
21953,EPSCHARTER,131392
21953,PENWOOD,131392
21954,EPSCHARTER,131508
21954,PENWOOD,131508
21955,PENWOOD,131506
21955,EPSCHARTER,131506
22140,PENWOOD,183324
22140,DANAOS,183324
22150,PENWOOD,183326
22150,DANAOS,183326
22160,DANAOS,183328
22160,PENWOOD,183328
22165,PENWOOD,183332
22165,DANAOS,183332
22510,QCT,111106
22510,EPSCHARTER,111106
22510,PENWOOD,111106
22510,CUBIC,111106
22510,DANAOS,111106
22520,DANAOS,112106
22520,QCT,112106
22520,PENWOOD,112106
22520,CUBIC,112106
22530,PENWOOD,112106
22530,DANAOS,112106
22600,PENWOOD,123002
22600,CUBIC,123002
22600,DANAOS,123002
22605,CUBIC,117002
22605,PENWOOD,117002
23010,DANAOS,181188
23010,QCT,181188
23010,TPMOFF,183798
23010,PENWOOD,181188
23010,EPSCHARTER,181188
23015,PENWOOD,183102
23015,CUBIC,183102
23020,TPMOFF,183312
23020,PENWOOD,181102
23025,DANAOS,181102
23025,PENWOOD,181102
23030,DANAOS,181106
23042,DANAOS,181102
23043,DANAOS,168004
23043,PENWOOD,168004
23044,PENWOOD,168002
23045,PENWOOD,168998
23046,PENWOOD,168998
23047,PENWOOD,168998
23048,PENWOOD,168502
2999,PENWOOD,181104
2999,DANAOS,181104
2999,CUBIC,181104
11010,TPMOFF,111126
11011,TPMOFF,183112
11015,TPMOFF,112126
11020,TPMOFF,111134
11025,TPMOFF,112134
11030,TPMOFF,111124
11035,TPMOFF,112124
11040,TPMOFF,111122
11045,TPMOFF,112122
11050,TPMOFF,111132
11055,TPMOFF,112132
11080,TPMOFF,116002
12010,TPMOFF,125002
12010,PENWOOD,111126
12010,DANAOS,111126
12010,EPSCHARTER,111126
12011,CUBIC,111124
12011,PENWOOD,111124
12011,EPSCHARTER,111124
12011,DANAOS,111124
12012,DANAOS,111122
12012,EPSCHARTER,111122
12012,CUBIC,111122
12012,PENWOOD,111122
12050,DANAOS,112126
12050,EPSCHARTER,112126
12050,PENWOOD,112126
12051,PENWOOD,112124
12051,DANAOS,112124
12051,EPSCHARTER,112124
12051,CUBIC,112124
12052,DANAOS,112122
12052,EPSCHARTER,112122
12052,CUBIC,112122
12052,PENWOOD,112122
12110,TPMOFF,118002
12120,TPMOFF,118002
12130,TPMOFF,118002
12140,TPMOFF,118002
12145,TPMOFF,118002
12150,TPMOFF,118002
12170,TPMOFF,118002
12180,TPMOFF,118002
12190,TPMOFF,118002
13010,QCT,111102
13010,PENWOOD,111102
13010,CUBIC,111102
13010,DANAOS,111102
13011,DANAOS,111102
13012,DANAOS,111102
13013,DANAOS,111102
13020,QCT,111102
13020,PENWOOD,111102
13020,CUBIC,111102
13020,DANAOS,111102
13021,PENWOOD,111102
13021,QCT,111102
13100,DANAOS,111104
13100,QCT,111104
13100,PENWOOD,111104
13510,CUBIC,112102
13510,QCT,112102
13510,DANAOS,112102
13510,PENWOOD,112102
14010,CUBIC,111102
14010,PENWOOD,111102
14010,DANAOS,111102
14020,PENWOOD,111102
14020,DANAOS,111102
14030,QCT,111102
14030,CUBIC,111102
14030,PENWOOD,111102
14030,DANAOS,111102
14040,CUBIC,111102
14040,PENWOOD,111102
14040,DANAOS,111102
14040,QCT,111102
14050,QCT,111102
14050,PENWOOD,111102
14050,DANAOS,111102
14060,CUBIC,111102
14060,DANAOS,111102
14060,PENWOOD,111102
14060,QCT,111102
14070,PENWOOD,111102
23050,CUBIC,183314
23050,DANAOS,183314
23050,PENWOOD,183314
23050,EPSCHARTER,183314
23050,TPMOFF,183318
23051,TPMOFF,183318
23051,DANAOS,183316
23051,PENWOOD,183316
23052,TPMOFF,183318
23054,TPMOFF,183318
23055,EPSCHARTER,183322
23055,PENWOOD,183322
23055,CUBIC,183322
23055,DANAOS,183322
23055,TPMOFF,261312
23056,TPMOFF,261312
23057,TPMOFF,261312
23059,TPMOFF,261312
23060,DANAOS,183318
23060,TPMOFF,183322
23062,DANAOS,183318
23064,DANAOS,183318
23065,DANAOS,183318
23067,CUBIC,181104
23067,PENWOOD,181104
23068,PENWOOD,126002
23069,QCT,251104
23069,PENWOOD,251104
23070,DANAOS,183398
23070,TPMOFF,183398
23071,DANAOS,181104
23071,PENWOOD,181104
23072,PENWOOD,181104
23072,DANAOS,181104
23073,QCT,251104
23073,PENWOOD,251104
23074,PENWOOD,251104
23075,DANAOS,183398
23075,QCT,183398
23075,PENWOOD,183398
23076,PENWOOD,251104
23076,CUBIC,251104
23077,DANAOS,181104
23078,DANAOS,181104
23079,EPSCHARTER,181104
23079,DANAOS,181104
23079,QCT,181104
23079,PENWOOD,181104
23079,CUBIC,181104
23080,CUBIC,183398
23080,DANAOS,183398
23080,EPSCHARTER,183398
23080,PENWOOD,183398
23080,QCT,183398
23081,DANAOS,181104
23082,DANAOS,183312
23083,PENWOOD,183398
23084,DANAOS,181104
23085,DANAOS,183398
23087,DANAOS,181104
23088,DANAOS,181104
23089,DANAOS,181104
23090,PENWOOD,111102
23090,DANAOS,111102
23090,TPMOFF,183398
23091,PENWOOD,131394
23092,PENWOOD,111102
23092,DANAOS,111102
23094,DANAOS,181104
23095,DANAOS,181104
23095,PENWOOD,181104
23100,DANAOS,183398
23101,DANAOS,183398
23102,DANAOS,183398
23103,DANAOS,183398
23104,DANAOS,183398
23105,DANAOS,183398
23106,DANAOS,183398
23107,DANAOS,183398
23108,DANAOS,183398
23109,DANAOS,183398
23110,DANAOS,183398
23111,DANAOS,183398
23112,DANAOS,183398
23113,DANAOS,183398
23114,DANAOS,183398
23115,DANAOS,183398
23116,DANAOS,183398
23117,DANAOS,183398
23118,DANAOS,183398
23119,DANAOS,183398
23120,DANAOS,183398
23121,DANAOS,183398
23122,DANAOS,183398
23123,DANAOS,183398
23124,DANAOS,183398
23200,TPMOFF,183398
23300,TPMOFF,183398
